ObjectName,Text1,Text2,Text3,Text4,Text5,Text6,Text7,Text8
Display01_L1,OSC 1,WAVE,FREQ,FINE,LFO1,ENV2,PAN,LEVEL
Display01_L2,FILTER,TYPE,CUTOFF,RESO,LFO2,ENV 1,KEY,DRIVE
Display02_L1,FILTER,TYPE,CUTOFF,RESO,LFO2,ENV 1,KEY,DRIVE
Display02_L2,OSC 1,WAVE,FREQ,FINE,LFO1,ENV2,PAN,LEVEL
